Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),SPACE1-1:Zone Predicted Sensible Load to Cooling Setpoint Heat Transfer Rate [W](Hourly),SPACE1-1 HP COOLING MODE:Cooling Coil Total Cooling Rate [W](Hourly),SPACE1-1 HP COOLING MODE:Cooling Coil Sensible Cooling Rate [W](Hourly),SPACE1-1 HP HEATING MODE:Heating Coil Heating Rate [W](Hourly),SPACE1-1 HP SUPP COIL:Heating Coil Heating Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Total Heating Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Total Cooling Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Sensible Heating Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Sensible Cooling Rate [W](Hourly),SPACE1-1 SUPPLY INLET:System Node Temperature [C](Hourly),SPACE1-1 SUPPLY INLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS AIR LOOP INLET:System Node Temperature [C](Hourly),DOAS AIR LOOP INLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS MIXED AIR OUTLET:System Node Temperature [C](Hourly),DOAS MIXED AIR OUTLET:System Node Mass Flow Rate [kg/s](Hourly),CONDENSER SUPPLY INLET NODE:System Node Temperature [C](Hourly),CONDENSER SUPPLY INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),CONDENSER SUPPLY OUTLET NODE:System Node Temperature [C](Hourly),CONDENSER SUPPLY OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 ZONE AIR NODE:System Node Temperature [C](Hourly),SPACE1-1 ZONE AIR NODE:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 AIR TERMINAL MIXER SECONDARY INLET:System Node Temperature [C](Hourly),SPACE1-1 AIR TERMINAL MIXER SECONDARY INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 RETURN OUTLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS OUTDOOR AIR INLET:System Node Temperature [C](Hourly),DOAS OUTDOOR AIR INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 AIR TERMINAL MIXER PRIMARY INLET:System Node Temperature [C](Hourly),SPACE1-1 AIR TERMINAL MIXER PRIMARY INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 HEAT PUMP INLET:System Node Temperature [C](Hourly),SPACE1-1 HEAT PUMP INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 ZONE UNIT FAN OUTLET:System Node Temperature [C](Hourly),SPACE1-1 ZONE UNIT FAN OUTLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 COOLING COIL OUTLET:System Node Temperature [C](Hourly),SPACE1-1 COOLING COIL OUTLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 HEATING COIL OUTLET:System Node Temperature [C](Hourly),SPACE1-1 HEATING COIL OUTLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS HEAT RECOVERY SUPPLY OUTLET:System Node Temperature [C](Hourly),DOAS HEAT RECOVERY SUPPLY OUTLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS RELIEF AIR OUTLET:System Node Temperature [C](Hourly),DOAS RELIEF AIR OUTLET:System Node Mass Flow Rate [kg/s](Hourly) 
 01/14  01:00:00,-9.900000000000003,0.0,0.0,17.284973314773276,-4840.231948260265,16621.91377124408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.695862879767384,0.0,17.338219848793423,0.0,17.338219848793423,0.0,10.688702673062516,0.0,10.688702673062516,0.0,17.284973314773276,0.0,17.338219848793423,0.0,0.0,-9.900000000000003,0.0,17.338219848793423,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,-9.900000000000003,0.0,17.338219848793423,0.0 
 01/14  02:00:00,-7.575,0.0,0.0,17.168294127861058,-4717.974233244201,16787.64785296563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.695862879767384,0.0,17.195104432237785,0.0,17.195104432237785,0.0,10.688702673062516,0.0,10.688702673062516,0.0,17.168294127861058,0.0,17.195104432237785,0.0,0.0,-7.575,0.0,17.195104432237785,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,-7.575,0.0,17.195104432237785,0.0 
 01/14  03:00:00,-5.674999999999999,0.0,0.0,17.22103922280328,-4763.831674256244,16679.97497924397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.695862879767384,0.0,17.1779480738877,0.0,17.1779480738877,0.0,10.688702673062516,0.0,10.688702673062516,0.0,17.22103922280328,0.0,17.1779480738877,0.0,0.0,-5.674999999999999,0.0,17.1779480738877,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,-5.674999999999999,0.0,17.1779480738877,0.0 
 01/14  04:00:00,-4.4,0.0,0.0,17.342293492368378,-4873.609809093183,16451.230145158017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.695862879767384,0.0,17.33002070253265,0.0,17.33002070253265,0.0,10.688702673062516,0.0,10.688702673062516,0.0,17.342293492368378,0.0,17.33002070253265,0.0,0.0,-4.4,0.0,17.33002070253265,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,-4.4,0.0,17.33002070253265,0.0 
 01/14  05:00:00,-5.4624999999999999,0.0,0.0,17.40117562558207,-4921.879340090182,16326.151369220746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.695862879767384,0.0,17.38120696806535,0.0,17.38120696806535,0.0,10.688702673062516,0.0,10.688702673062516,0.0,17.40117562558207,0.0,17.38120696806535,0.0,0.0,-5.4624999999999999,0.0,17.38120696806535,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,-5.4624999999999999,0.0,17.38120696806535,0.0 
 01/14  06:00:00,-6.475,0.0,0.0,17.37146794464389,-4887.257188062602,16354.80300022123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.695862879767384,0.0,17.401292732485975,0.0,17.401292732485975,0.0,10.688702673062516,0.0,10.688702673062516,0.0,17.37146794464389,0.0,17.401292732485975,0.0,0.0,-6.475,0.0,17.401292732485975,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,-6.475,0.0,17.401292732485975,0.0 
 01/14  07:00:00,-6.012499999999999,0.0,0.0,17.291793380706957,794.7803237383905,16506.188867586603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.695862879767384,0.0,17.296780960051359,0.0,17.296780960051359,0.0,10.688702673062516,0.0,10.688702673062516,0.0,17.291793380706957,0.0,17.296780960051359,0.0,0.0,-6.012499999999999,0.0,17.296780960051359,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,21.695862879767384,0.0,-6.012499999999999,0.0,17.296780960051359,0.0 
 01/14  08:00:00,-4.85,3470.6202818395997,0.0,22.85470307826175,4727.0429321824599,8100.206761511932,0.0,0.0,3122.486620489749,313.8337840839117,3524.7757120555836,0.0,3524.7757120555836,0.0,37.53591878382092,0.22518883945886598,22.692056897490735,0.0,22.692056897490735,0.0,8.948723945115799,0.5475103542250296,12.739842827869055,0.5475103542250296,22.85470307826175,0.22518883945886598,22.692056897490735,0.22518883945886598,0.0,-4.85,0.0,22.692056897490735,0.0,22.69205689749073,0.22518883945886598,22.781422246990425,0.22518883945886598,22.781422246990425,0.22518883945886598,36.66053529988062,0.22518883945886598,-4.85,0.0,22.692056897490735,0.0 
 01/14  09:00:00,-4.775,759.4736832499889,0.0,22.999551535513676,760.1040065177158,2222.619421645115,0.0,0.0,1204.355566695378,0.0,1215.5919330178395,0.0,1215.5919330178395,0.0,32.12693600425172,0.08128077929723889,23.05799703129936,0.22183764440822335,16.91303428669549,0.22183764440822335,9.351064769769402,0.14353047979676065,14.647101815998284,0.14353047979676065,22.999551535513676,0.08128077929723889,22.99966252230277,0.0,0.08128077929723889,-4.775,0.22183764440822335,17.411730264044985,0.08128077929723889,17.411730264044988,0.08128077929723889,17.501213508073336,0.08128077929723889,17.501213508073336,0.08128077929723889,32.12693600425172,0.08128077929723889,16.91303428669549,0.22183764440822335,23.05799703129936,0.22183764440822335 
 01/14  10:00:00,-4.625,0.0,0.0,23.268592491552796,-329.5593714855495,1073.6983384626975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.913660475747059,0.0,23.99968630241278,0.09358235628595337,18.01635507645308,0.09355726042772765,13.494585133218765,0.06444521093761935,11.970572782592221,0.06444521093761935,23.268592491552796,0.0,23.166354882480495,0.0,0.0,-4.625,0.09355726042772765,18.242578741216108,0.0,17.913660475747059,0.0,17.913660475747059,0.0,17.913660475747059,0.0,17.913660475747059,0.0,18.01635507645308,0.09355726042772765,23.99968630997773,0.09355726042772765 
