Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),SPACE1-1:Zone Predicted Sensible Load to Cooling Setpoint Heat Transfer Rate [W](Hourly),SPACE1-1 HP COOLING MODE:Cooling Coil Total Cooling Rate [W](Hourly),SPACE1-1 HP COOLING MODE:Cooling Coil Sensible Cooling Rate [W](Hourly),SPACE1-1 HP HEATING MODE:Heating Coil Heating Rate [W](Hourly),SPACE1-1 HP SUPP COIL:Heating Coil Heating Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Total Heating Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Total Cooling Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Sensible Heating Rate [W](Hourly),SPACE1-1 HEAT PUMP:Zone Water to Air Heat Pump Sensible Cooling Rate [W](Hourly),SPACE1-1 SUPPLY INLET:System Node Temperature [C](Hourly),SPACE1-1 SUPPLY INLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS AIR LOOP INLET:System Node Temperature [C](Hourly),DOAS AIR LOOP INLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS MIXED AIR OUTLET:System Node Temperature [C](Hourly),DOAS MIXED AIR OUTLET:System Node Mass Flow Rate [kg/s](Hourly),CONDENSER SUPPLY INLET NODE:System Node Temperature [C](Hourly),CONDENSER SUPPLY INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),CONDENSER SUPPLY OUTLET NODE:System Node Temperature [C](Hourly),CONDENSER SUPPLY OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 ZONE AIR NODE:System Node Temperature [C](Hourly),SPACE1-1 ZONE AIR NODE:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 AIR TERMINAL MIXER SECONDARY INLET:System Node Temperature [C](Hourly),SPACE1-1 AIR TERMINAL MIXER SECONDARY INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 RETURN OUTLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS OUTDOOR AIR INLET:System Node Temperature [C](Hourly),DOAS OUTDOOR AIR INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 AIR TERMINAL MIXER PRIMARY INLET:System Node Temperature [C](Hourly),SPACE1-1 AIR TERMINAL MIXER PRIMARY INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 HEAT PUMP INLET:System Node Temperature [C](Hourly),SPACE1-1 HEAT PUMP INLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 ZONE UNIT FAN OUTLET:System Node Temperature [C](Hourly),SPACE1-1 ZONE UNIT FAN OUTLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 COOLING COIL OUTLET:System Node Temperature [C](Hourly),SPACE1-1 COOLING COIL OUTLET:System Node Mass Flow Rate [kg/s](Hourly),SPACE1-1 HEATING COIL OUTLET:System Node Temperature [C](Hourly),SPACE1-1 HEATING COIL OUTLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS HEAT RECOVERY SUPPLY OUTLET:System Node Temperature [C](Hourly),DOAS HEAT RECOVERY SUPPLY OUTLET:System Node Mass Flow Rate [kg/s](Hourly),DOAS RELIEF AIR OUTLET:System Node Temperature [C](Hourly),DOAS RELIEF AIR OUTLET:System Node Mass Flow Rate [kg/s](Hourly) 
 01/14  01:00:00,-9.900000000000003,0.0,0.0,17.28497306690123,-4840.231208951888,16621.91247441256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.69683125906985,0.0,17.338219584635735,0.0,17.338219584635735,0.0,10.840580255156013,0.0,10.840580255156013,0.0,17.28497306690123,0.0,17.338219584635735,0.0,0.0,-9.900000000000003,0.0,17.338219584635735,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,-9.900000000000003,0.0,17.338219584635735,0.0 
 01/14  02:00:00,-7.575,0.0,0.0,17.16829392115619,-4717.973592620723,16787.646640235373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.69683125906985,0.0,17.195104219633895,0.0,17.195104219633895,0.0,10.840580255156013,0.0,10.840580255156013,0.0,17.16829392115619,0.0,17.195104219633895,0.0,0.0,-7.575,0.0,17.195104219633895,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,-7.575,0.0,17.195104219633895,0.0 
 01/14  03:00:00,-5.674999999999999,0.0,0.0,17.22103905133722,-4763.831098445274,16679.973833864326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.69683125906985,0.0,17.177947892075286,0.0,17.177947892075286,0.0,10.840580255156013,0.0,10.840580255156013,0.0,17.22103905133722,0.0,17.177947892075286,0.0,0.0,-5.674999999999999,0.0,17.177947892075286,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,-5.674999999999999,0.0,17.177947892075286,0.0 
 01/14  04:00:00,-4.4,0.0,0.0,17.34229334004984,-4873.609267589603,16451.229065288855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.69683125906985,0.0,17.330020547995699,0.0,17.330020547995699,0.0,10.840580255156013,0.0,10.840580255156013,0.0,17.34229334004984,0.0,17.330020547995699,0.0,0.0,-4.4,0.0,17.330020547995699,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,-4.4,0.0,17.330020547995699,0.0 
 01/14  05:00:00,-5.4624999999999999,0.0,0.0,17.40117548070982,-4921.878815667322,16326.150329025948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.69683125906985,0.0,17.38120682233606,0.0,17.38120682233606,0.0,10.840580255156013,0.0,10.840580255156013,0.0,17.40117548070982,0.0,17.38120682233606,0.0,0.0,-5.4624999999999999,0.0,17.38120682233606,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,-5.4624999999999999,0.0,17.38120682233606,0.0 
 01/14  06:00:00,-6.475,0.0,0.0,17.371467794702153,-4887.256666140842,16354.801982237179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.69683125906985,0.0,17.40129258410101,0.0,17.40129258410101,0.0,10.840580255156013,0.0,10.840580255156013,0.0,17.371467794702153,0.0,17.40129258410101,0.0,0.0,-6.475,0.0,17.40129258410101,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,-6.475,0.0,17.40129258410101,0.0 
 01/14  07:00:00,-6.012499999999999,0.0,0.0,17.29179323745563,794.7804272683525,16506.187839770602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.69683125906985,0.0,17.296780813800664,0.0,17.296780813800664,0.0,10.840580255156013,0.0,10.840580255156013,0.0,17.29179323745563,0.0,17.296780813800664,0.0,0.0,-6.012499999999999,0.0,17.296780813800664,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,21.69683125906985,0.0,-6.012499999999999,0.0,17.296780813800664,0.0 
 01/14  08:00:00,-4.85,3470.620472995928,0.0,22.854703192911907,4727.044001366041,8100.207439534066,0.0,0.0,3122.602940688382,313.71979827960208,3524.77544233765,0.0,3524.7754423376507,0.0,37.53803039647189,0.2251594995219024,22.69205707318529,0.0,22.69205707318529,0.0,9.047467277602314,0.5474283921018032,12.750318138605272,0.5474283921018032,22.854703192911907,0.2251594995219024,22.69205707318529,0.2251594995219024,0.0,-4.85,0.0,22.69205707318529,0.0,22.69205707318529,0.2251594995219024,22.78142253121255,0.2251594995219024,22.78142253121255,0.2251594995219024,36.662963792939027,0.2251594995219024,-4.85,0.0,22.69205707318529,0.0 
 01/14  09:00:00,-4.775,759.4722103958345,0.0,22.999549597201736,760.1053580239104,2222.6205298144279,0.0,0.0,1204.765595836865,0.0,1216.0103008070212,0.0,1216.0103008070212,0.0,32.11699281334786,0.08135767043364983,23.057907651906363,0.22202570830579894,16.912910089664679,0.22202570830579894,9.511045964280158,0.14365455697532007,14.56135954516692,0.14365455697532007,22.999549597201736,0.08135767043364983,22.99966118326583,0.0,0.08135767043364983,-4.775,0.22202570830579894,17.412021116300648,0.08135767043364983,17.412021116300648,0.08135767043364983,17.501504444634997,0.08135767043364983,17.501504444634997,0.08135767043364983,32.11699281334786,0.08135767043364983,16.912910089664679,0.22202570830579894,23.057907651906363,0.22202570830579894 
 01/14  10:00:00,-4.625,0.0,0.0,23.26859191028205,-329.55840908324537,1073.698999855248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.91360308649373,0.0,23.999686309624136,0.09355870409787731,18.01632480022683,0.09353363716674677,13.640615175518502,0.06442892323612912,11.8773063851264,0.06442892323612912,23.26859191028205,0.0,23.166353943990076,0.0,0.0,-4.625,0.09353363716674677,18.24250055817049,0.0,17.91360308649373,0.0,17.91360308649373,0.0,17.91360308649373,0.0,17.91360308649373,0.0,18.01632480022683,0.09353363716674677,23.999686317183558,0.09353363716674677 
