Date/Time,EMS:ashp supply fan Cooling [J](Hourly),EMS:ashp supply fan Heating [J](Hourly),ASHP CLG COIL:Cooling Coil Total Cooling Energy [J](Hourly),ASHP CLG COIL:Cooling Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP HTG COIL:Heating Coil Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Defrost Electric Energy [J](Hourly),ASHP HTG COIL:Heating Coil Crankcase Heater Electric Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Heating Energy [J](Hourly),ASHP SUPP HTG COIL:Heating Coil Electric Energy [J](Hourly),WATER USE CONNECTIONS 1:Water Use Connections Plant Hot Water Energy [J](Hourly),WATER HEATER:Water Heater Tank Temperature [C](Hourly),WATER HEATER:Water Heater Use Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Use Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Mass Flow Rate [kg/s](Hourly),WATER HEATER:Water Heater Source Side Inlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Outlet Temperature [C](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Rate [W](Hourly),WATER HEATER:Water Heater Source Side Heat Transfer Energy [J](Hourly),WATER HEATER:Water Heater Heating Energy [J](Hourly),WATER HEATER:Water Heater Electric Energy [J](Hourly),WATER HEATER:Water Heater Off Cycle Parasitic Electric Energy [J](Hourly),WATER HEATER:Water Heater On Cycle Parasitic Electric Energy [J](Hourly),DESUPERHEATER:Water Heater Heating Energy [J](Hourly),WH SETPOINT TEMP:Schedule Value [](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.911830994657638,0.0,59.911830994657638,0.0,60.0,59.911830994657638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.73657094130493,0.0,59.73657094130493,0.0,59.911830994657638,59.73657094130493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.56292040700963,0.0,59.56292040700963,0.0,59.73657094130493,59.56292040700963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.390135870761039,0.0,59.390135870761039,0.0,59.56292040700963,59.390135870761039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.21760285719787,0.0,59.21760285719787,0.0,59.390135870761039,59.21760285719787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144542.94472908148,58.89985706473637,0.0002213388817035917,58.89985706473637,0.0,59.21760285719787,58.89985706473637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357256.03248489389,58.25060996062864,0.0005134597582397531,58.25060996062864,0.0,58.89985706473637,58.25060996062864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/01  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.75113437594534,0.0,57.75113437594534,0.0,58.25060996062864,57.75113437594534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
 01/01  09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5119033.980263419,53.5055773894425,0.007780202563576756,53.5055773894425,0.0,57.75113437594534,53.5055773894425,0.0,0.0,1498107.7726803569,1872634.715850446,0.0,0.0,0.0,52.6666666666667 
 01/01  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0331782825604,0.0,51.0331782825604,0.0,53.5055773894425,51.0331782825604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6666666666667 
