Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SPACE1-1:Zone Air System Sensible Heating Energy [J](TimeStep),SPACE1-1:Zone Air System Sensible Cooling Energy [J](TimeStep),SPACE1-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE1-1:Zone Air System Sensible Cooling Rate [W](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Humidity Ratio [](TimeStep),SPACE1-1:Zone Air Relative Humidity [%](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Average Borehole Temperature [C](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Heat Transfer Rate [W](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Inlet Temperature [C](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Outlet Temperature [C](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Mass Flow Rate [kg/s](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Average Fluid Temperature [C](TimeStep),ZONE 1 FAN:Fan Electric Power [W](TimeStep),ZONE 1 FAN:Fan Rise in Air Temperature [deltaC](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Electric Energy [J](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Total Cooling Energy [J](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Sensible Cooling Energy [J](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Latent Cooling Energy [J](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Source Side Heat Transfer Energy [J](TimeStep),SYS 1 HEAT PUMP HEATING MODE:Heating Coil Electric Energy [J](TimeStep),SYS 1 HEAT PUMP HEATING MODE:Heating Coil Heating Energy [J](TimeStep),SYS 1 HEAT PUMP HEATING MODE:Heating Coil Source Side Heat Transfer Energy [J](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Total Cooling Rate [W](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Sensible Cooling Rate [W](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Source Side Heat Transfer Rate [W](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Part Load Ratio [](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Runtime Fraction [](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Air Mass Flow Rate [kg/s](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Air Inlet Temperature [C](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Air Inlet Humidity Ratio [kgWater/kgDryAir](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Air Outlet Temperature [C](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Air Outlet Humidity Ratio [kgWater/kgDryAir](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Source Side Mass Flow Rate [kg/s](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Source Side Inlet Temperature [C](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Source Side Outlet Temperature [C](TimeStep),SYS 1 HEAT PUMP HEATING MODE:Heating Coil Electric Power [W](TimeStep),SYS 1 HEAT PUMP HEATING MODE:Heating Coil Heating Rate [W](TimeStep),HEAT PUMP DX SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep),HEAT PUMP DX SUPP HEATING COIL 1:Heating Coil Heating Rate [W](TimeStep),HEAT PUMP DX SUPP HEATING COIL 1:Heating Coil Gas Rate [W](TimeStep),HEAT PUMP DX SUPP HEATING COIL 1:Heating Coil Electric Energy [J](TimeStep),HEAT PUMP DX SUPP HEATING COIL 1:Heating Coil Electric Power [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Total Heating Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Total Heating Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Total Cooling Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Total Cooling Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Sensible Heating Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Sensible Heating Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Sensible Cooling Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Sensible Cooling Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Latent Heating Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Latent Heating Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Latent Cooling Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Latent Cooling Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Electric Power [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Electric Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Fan Part Load Ratio [](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Compressor Part Load Ratio [](TimeStep),SUPPLY FAN 1:Fan Electric Power [W](TimeStep),SUPPLY FAN 1:Fan Rise in Air Temperature [deltaC](TimeStep),ZONE 1 INLET NODE:System Node Temperature [C](TimeStep),ZONE 1 INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),SYS 1 OUTSIDE AIR INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),OUTSIDE AIR INLET NODE:System Node Temperature [C](TimeStep),OUTSIDE AIR INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),OUTDOOR AIR MIXER INLET NODE:System Node Temperature [C](TimeStep),OUTDOOR AIR MIXER INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),MIXED AIR NODE:System Node Temperature [C](TimeStep),MIXED AIR NODE:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 1 OUTLET NODE:System Node Temperature [C](TimeStep),ZONE 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 1 RETURN NODE:System Node Temperature [C](TimeStep),ZONE 1 RETURN NODE:System Node Mass Flow Rate [kg/s](TimeStep),RELIEF AIR OUTLET NODE:System Node Temperature [C](TimeStep),RELIEF AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 12/21  00:15:00,-18.8,1922270.3281118603,0.0,2135.8559201242894,0.0,14.999999999999999,0.0008843566491681437,6.790046790897604,11.99033356935397,2024.4705124716709,9.430498143035307,13.842882054342685,0.1093861128044712,11.634199183651204,29.235058454818636,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,638892.6782819493,2271766.5646052577,1810888.7480555983,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230494,0.000884356649168144,15.429511030230494,0.000884356649168144,0.0,13.834638852895435,13.834638852895435,709.8807536466103,2524.1850717836198,0.0,0.0,0.0,0.0,0.0,2517.558697372335,2265802.8276351017,0.0,0.0,2517.5586973723359,2265802.827635102,0.0,0.0,0.0,0.0,9.094947017729282e-13,8.185452315956354e-10,739.1158121014289,665204.230891286,0.0472157501328844,0.0472157501328844,9.953897142857148,0.8590220604609868,51.98707260822676,0.06762741398583595,0.0,-18.8,0.011512826695605216,14.999999999999999,0.011512826695605216,-18.8,0.011512826695605216,14.999999999999999,0.06762741398583595,14.999999999999999,0.011512826695605216,14.999999999999999,0.011512826695605216 
 12/21  00:30:00,-18.8,1923379.113726809,0.0,2137.087904140899,0.0,15.0,0.0008843566491681434,6.790046582377982,13.105523313531327,2853.473693411546,9.492535306694365,15.744997295210178,0.10887584476767837,12.618766300952272,29.098681765851454,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,637697.1832866994,2273015.837831067,1813349.2046560436,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230494,0.0008843566491681437,15.429511030230494,0.0008843566491681437,0.0,14.186539130282084,14.186539130282084,708.5524258741104,2525.57315314563,0.0,0.0,0.0,0.0,0.0,2518.7906813889446,2266911.61325005,0.0,0.0,2518.7906813889446,2266911.61325005,0.0,0.0,0.0,0.0,0.0,0.0,737.6511076399619,663885.9968759657,0.04699549650554256,0.04699549650554256,9.953897142857148,0.8590220604609868,52.17860448812245,0.06731194333893936,0.0,-18.8,0.011512826695605216,14.999999999999999,0.011512826695605216,-18.8,0.011512826695605216,14.999999999999999,0.06731194333893936,14.999999999999999,0.011512826695605216,14.999999999999999,0.011512826695605216 
 12/21  00:45:00,-18.8,1924363.6769169062,0.0,2138.181863241007,0.0,15.0,0.0008843566491681432,6.790046582377979,13.158224727601637,2725.209542004875,9.669066778487793,15.683357268875595,0.1081060082666129,12.676212023681693,28.892931561074258,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,635820.0187186223,2274202.434339803,1816418.425130407,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230494,0.0008843566491681434,15.429511030230494,0.0008843566491681434,0.0,14.702847804477699,14.702847804477699,706.4666874651359,2526.8915937108924,0.0,0.0,0.0,0.0,0.0,2519.8846404890525,2267896.176440147,0.0,0.0,2519.8846404890525,2267896.176440147,0.0,0.0,0.0,0.0,0.0,0.0,735.3596190262102,661823.6571235892,0.04666320196699859,0.04666320196699859,9.953897142857148,0.8590220604609868,52.45962038191351,0.06683599579473855,0.0,-18.8,0.011512826695605216,14.999999999999999,0.011512826695605216,-18.8,0.011512826695605216,15.0,0.06683599579473855,15.0,0.011512826695605216,14.999999999999999,0.011512826695605216 
 12/21  01:00:00,-18.8,1925244.9164087673,0.0,2139.1610182319639,0.0,15.0,0.000884356649168143,6.790046582377977,13.067847648981795,2461.531774834338,9.903878079385816,15.355571792333209,0.10773142204117121,12.629724935859512,28.792817845389587,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,634952.9525404218,2275187.775042124,1818287.4835035119,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230494,0.0008843566491681432,15.429511030230494,0.0008843566491681432,0.0,14.968988700295063,14.968988700295063,705.5032806004687,2527.986416713471,0.0,0.0,0.0,0.0,0.0,2520.8637954800099,2268777.4159320087,0.0,0.0,2520.8637954800099,2268777.4159320087,0.0,0.0,0.0,0.0,0.0,0.0,734.2960984458582,660866.4886012724,0.04650151444405598,0.04650151444405598,9.953897142857148,0.8590220604609868,52.60447524384081,0.0666044097451765,0.0,-18.8,0.011512826695605216,15.0,0.011512826695605216,-18.8,0.011512826695605216,15.0,0.0666044097451765,15.0,0.011512826695605216,15.0,0.011512826695605216 
 12/21  01:15:00,-18.8,1926040.4319076103,0.0,2140.0449243417895,0.0,14.999999999999999,0.0008843566491681426,6.790046790897594,13.009060118211146,2252.7806306143677,10.111804648157895,15.10565791919608,0.10764140753273734,12.608731283676989,28.768760135060757,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,634809.9567763786,2276016.719402993,1819281.8654223318,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230496,0.000884356649168143,15.429511030230496,0.000884356649168143,0.0,15.051011072918787,15.051011072918787,705.3443964181984,2528.9074660033259,0.0,0.0,0.0,0.0,0.0,2521.7477015898346,2269572.931430851,0.0,0.0,2521.7477015898355,2269572.9314308518,0.0,0.0,0.0,0.0,9.094947017729282e-13,8.185452315956354e-10,734.1131565532592,660701.8408979332,0.046462660311391578,0.046462660311391578,9.953897142857148,0.8590220604609868,52.649118286860829,0.06654875872814592,0.0,-18.8,0.011512826695605216,15.0,0.011512826695605216,-18.8,0.011512826695605216,15.0,0.06654875872814592,15.0,0.011512826695605216,15.0,0.011512826695605216 
 12/21  01:30:00,-18.8,1926764.8928480528,0.0,2140.849880942281,0.0,15.0,0.0008843566491681424,6.790046582377974,12.974859166143454,2112.375089817225,10.260316328176561,14.940785564573489,0.10769520151051972,12.600550946375025,28.783137372213305,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,635029.4457628158,2276738.4951946197,1819808.324804071,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230492,0.0008843566491681426,15.429511030230492,0.0008843566491681426,0.0,15.038528505489003,15.038528505489003,705.5882730697953,2529.709439105133,0.0,0.0,0.0,0.0,0.0,2522.552658190327,2270297.392371294,0.0,0.0,2522.5526581903275,2270297.3923712947,0.0,0.0,0.0,0.0,4.547473508864641e-13,4.092726157978177e-10,734.3714104420086,660934.2693978078,0.046485880105463308,0.046485880105463308,9.953897142857148,0.8590220604609868,52.642324289358139,0.06658201658430484,0.0,-18.8,0.011512826695605216,14.999999999999997,0.011512826695605216,-18.8,0.011512826695605216,14.999999999999999,0.06658201658430484,14.999999999999999,0.011512826695605216,14.999999999999997,0.011512826695605216 
 12/21  01:45:00,-18.8,1927430.435716419,0.0,2141.5893730182435,0.0,15.0,0.0008843566491681425,6.7900465823779749,12.95165290833959,2027.6108359743644,10.349285139599516,14.837376794475361,0.10780742209089805,12.593330967037439,28.813129984100514,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,635392.873399839,2277386.247414178,1820116.608750632,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230497,0.0008843566491681424,15.429511030230497,0.0008843566491681424,0.0,14.9867907109136,14.9867907109136,705.9920815553767,2530.429163793531,0.0,0.0,0.0,0.0,0.0,2523.2921502662895,2270962.9352396607,0.0,0.0,2523.2921502662895,2270962.9352396607,0.0,0.0,0.0,0.0,0.0,0.0,734.8052115394772,661324.6903855295,0.04653431933368949,0.04653431933368949,9.953897142857148,0.8590220604609868,52.614164501789179,0.06665139639360973,0.0,-18.8,0.011512826695605216,15.000000000000002,0.011512826695605216,-18.8,0.011512826695605216,15.0,0.06665139639360973,15.0,0.011512826695605216,15.000000000000002,0.011512826695605216 
 12/21  02:00:00,-18.8,1928047.0471157598,0.0,2142.2744967952887,0.0,15.000000000000002,0.0008843566491681424,6.790046582377974,12.934519261908936,1984.0283680032558,10.391349204043872,14.777968846873169,0.10793167198822736,12.584659025458521,28.846337609074998,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,635781.888012127,2277981.427757297,1820345.5998762,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230497,0.0008843566491681425,15.429511030230497,0.0008843566491681425,0.0,14.925976609893342,14.925976609893342,706.4243200134745,2531.0904752858857,0.0,0.0,0.0,0.0,0.0,2523.977274043334,2271579.5466390007,0.0,0.0,2523.977274043335,2271579.5466390016,0.0,0.0,0.0,0.0,9.094947017729282e-13,8.185452315956354e-10,735.2706576225495,661743.5918602946,0.04658795093239913,0.04658795093239913,9.953897142857148,0.8590220604609868,52.58106467254467,0.0667282132676073,0.0,-18.8,0.011512826695605216,15.000000000000002,0.011512826695605216,-18.8,0.011512826695605216,15.0,0.0667282132676073,15.0,0.011512826695605216,15.000000000000002,0.011512826695605216 
 12/21  02:15:00,-18.8,1928622.9121802485,0.0,2142.9143468669428,0.0,15.000000000000002,0.0008843566491681423,6.790046582377974,12.921745857695076,1968.1446361140184,10.401735320841981,14.748694044137603,0.10804478077429389,12.575214682489792,28.876567607085069,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,636137.7047829243,2278537.9930202539,1820567.641970506,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230497,0.0008843566491681424,15.429511030230497,0.0008843566491681424,0.0,14.871178744850474,14.871178744850474,706.819671981027,2531.7088811336154,0.0,0.0,0.0,0.0,0.0,2524.6171241149888,2272155.4117034899,0.0,0.0,2524.6171241149888,2272155.4117034899,0.0,0.0,0.0,0.0,0.0,0.0,735.6962395881121,662126.6156293009,0.04663677354839516,0.04663677354839516,9.953897142857148,0.8590220604609868,52.55123935332678,0.0667981422056109,0.0,-18.8,0.011512826695605216,15.000000000000002,0.011512826695605216,-18.8,0.011512826695605216,15.000000000000002,0.0667981422056109,15.000000000000002,0.011512826695605216,15.000000000000002,0.011512826695605216 
 12/21  02:30:00,-18.8,1929164.7204591318,0.0,2143.516356065702,0.0,15.0,0.0008843566491681421,6.790046582377972,12.91128626233338,1967.9398404838237,10.393724239677049,14.73646722131625,0.10813816423368236,12.56509573049665,28.901525719444498,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,636438.921767843,2279064.8237522568,1820812.9529179219,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230497,0.0008843566491681423,15.429511030230497,0.0008843566491681423,0.0,14.828037145989909,14.828037145989909,707.1543575198256,2532.2942486136187,0.0,0.0,0.0,0.0,0.0,2525.2191333137477,2272697.2199823728,0.0,0.0,2525.2191333137477,2272697.2199823728,0.0,0.0,0.0,0.0,0.0,0.0,736.0558832392701,662450.294915343,0.046677081865163966,0.046677081865163966,9.953897142857148,0.8590220604609868,52.527758293315049,0.06685587605962198,0.0,-18.8,0.011512826695605216,15.000000000000002,0.011512826695605216,-18.8,0.011512826695605216,15.000000000000002,0.06685587605962198,15.000000000000002,0.011512826695605216,15.000000000000002,0.011512826695605216 
