Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SPACE1-1:Zone Air System Sensible Heating Energy [J](TimeStep),SPACE1-1:Zone Air System Sensible Cooling Energy [J](TimeStep),SPACE1-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE1-1:Zone Air System Sensible Cooling Rate [W](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Humidity Ratio [](TimeStep),SPACE1-1:Zone Air Relative Humidity [%](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Average Borehole Temperature [C](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Heat Transfer Rate [W](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Inlet Temperature [C](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Outlet Temperature [C](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Mass Flow Rate [kg/s](TimeStep),VERTICAL GROUND HEAT EXCHANGER:Ground Heat Exchanger Average Fluid Temperature [C](TimeStep),ZONE 1 FAN:Fan Electric Power [W](TimeStep),ZONE 1 FAN:Fan Rise in Air Temperature [deltaC](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Electric Energy [J](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Total Cooling Energy [J](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Sensible Cooling Energy [J](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Latent Cooling Energy [J](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Source Side Heat Transfer Energy [J](TimeStep),SYS 1 HEAT PUMP HEATING MODE:Heating Coil Electric Energy [J](TimeStep),SYS 1 HEAT PUMP HEATING MODE:Heating Coil Heating Energy [J](TimeStep),SYS 1 HEAT PUMP HEATING MODE:Heating Coil Source Side Heat Transfer Energy [J](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Total Cooling Rate [W](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Sensible Cooling Rate [W](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Source Side Heat Transfer Rate [W](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Part Load Ratio [](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Runtime Fraction [](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Air Mass Flow Rate [kg/s](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Air Inlet Temperature [C](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Air Inlet Humidity Ratio [kgWater/kgDryAir](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Air Outlet Temperature [C](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Air Outlet Humidity Ratio [kgWater/kgDryAir](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Source Side Mass Flow Rate [kg/s](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Source Side Inlet Temperature [C](TimeStep),SYS 1 HEAT PUMP COOLING MODE:Cooling Coil Source Side Outlet Temperature [C](TimeStep),SYS 1 HEAT PUMP HEATING MODE:Heating Coil Electric Power [W](TimeStep),SYS 1 HEAT PUMP HEATING MODE:Heating Coil Heating Rate [W](TimeStep),HEAT PUMP DX SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep),HEAT PUMP DX SUPP HEATING COIL 1:Heating Coil Heating Rate [W](TimeStep),HEAT PUMP DX SUPP HEATING COIL 1:Heating Coil Gas Rate [W](TimeStep),HEAT PUMP DX SUPP HEATING COIL 1:Heating Coil Electric Energy [J](TimeStep),HEAT PUMP DX SUPP HEATING COIL 1:Heating Coil Electric Power [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Total Heating Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Total Heating Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Total Cooling Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Total Cooling Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Sensible Heating Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Sensible Heating Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Sensible Cooling Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Sensible Cooling Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Latent Heating Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Latent Heating Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Latent Cooling Rate [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Latent Cooling Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Electric Power [W](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Electric Energy [J](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Fan Part Load Ratio [](TimeStep),ZONE1WTAHP:Zone Water to Air Heat Pump Compressor Part Load Ratio [](TimeStep),SUPPLY FAN 1:Fan Electric Power [W](TimeStep),SUPPLY FAN 1:Fan Rise in Air Temperature [deltaC](TimeStep),ZONE 1 INLET NODE:System Node Temperature [C](TimeStep),ZONE 1 INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),SYS 1 OUTSIDE AIR INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),OUTSIDE AIR INLET NODE:System Node Temperature [C](TimeStep),OUTSIDE AIR INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),OUTDOOR AIR MIXER INLET NODE:System Node Temperature [C](TimeStep),OUTDOOR AIR MIXER INLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),MIXED AIR NODE:System Node Temperature [C](TimeStep),MIXED AIR NODE:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 1 OUTLET NODE:System Node Temperature [C](TimeStep),ZONE 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](TimeStep),ZONE 1 RETURN NODE:System Node Temperature [C](TimeStep),ZONE 1 RETURN NODE:System Node Mass Flow Rate [kg/s](TimeStep),RELIEF AIR OUTLET NODE:System Node Temperature [C](TimeStep),RELIEF AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](TimeStep) 
 12/21  00:15:00,-18.8,1922270.3277813323,0.0,2135.8559197570359,0.0,15.0,0.0008843566491681428,6.790046582377977,12.07229751234274,1825.3997985688225,9.767365705641556,13.739994927145317,0.10955178506848408,11.751283240811797,29.27933682067863,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,639321.3029458075,2271726.1394194669,1632404.8364736592,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230496,0.0008843566491681431,15.429511030230496,0.0008843566491681431,0.0,13.731870620147705,13.731870620147705,710.3570032731194,2524.1401549105187,0.0,0.0,0.0,0.0,0.0,2517.5586970050815,2265802.8273045734,0.0,0.0,2517.5586970050815,2265802.8273045734,0.0,0.0,0.0,0.0,0.0,0.0,739.636340093798,665672.7060844182,0.04728726140630869,0.04728726140630869,9.953897142857148,0.8590220604609868,51.93113803222161,0.06772984002966473,0.0,-18.8,0.011512826695605216,15.0,0.011512826695605216,-18.8,0.011512826695605216,14.999999999999999,0.06772984002966473,14.999999999999999,0.011512826695605216,15.0,0.011512826695605216 
 12/21  00:30:00,-18.8,1923379.1133984349,0.0,2137.0879037760389,0.0,14.999999999999999,0.0008843566491681426,6.790046790897594,13.105523313531327,2594.81112135067,9.825500853781977,15.501154906822592,0.10908043444917268,12.663327880302284,29.153361387828974,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,638225.8639581407,2272965.9166054248,1634740.052647284,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230496,0.0008843566491681428,15.429511030230496,0.0008843566491681428,0.0,14.058421610403896,14.058421610403896,709.1398488423786,2525.5176851171388,0.0,0.0,0.0,0.0,0.0,2518.7906810240849,2266911.612921676,0.0,0.0,2518.7906810240849,2266911.612921676,0.0,0.0,0.0,0.0,0.0,0.0,738.2932102302076,664463.8892071869,0.04708380620988747,0.04708380620988747,9.953897142857148,0.8590220604609868,52.108872831153998,0.06743842988035599,0.0,-18.8,0.011512826695605216,15.0,0.011512826695605216,-18.8,0.011512826695605216,15.0,0.06743842988035599,15.0,0.011512826695605216,15.0,0.011512826695605216 
 12/21  00:45:00,-18.8,1924363.676591111,0.0,2138.1818628790126,0.0,15.0,0.0008843566491681423,6.790046582377974,13.15344360347511,2475.340574056071,9.990599338220564,15.440849336529097,0.10836761428095802,12.71572433737483,28.96284964231353,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,636494.8249919972,2274138.6008500179,1637643.7758580207,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230492,0.0008843566491681426,15.429511030230492,0.0008843566491681426,0.0,14.536701706041429,14.536701706041429,707.2164722133302,2526.820667611131,0.0,0.0,0.0,0.0,0.0,2519.884640127059,2267896.176114353,0.0,0.0,2519.884640127059,2267896.176114353,0.0,0.0,0.0,0.0,0.0,0.0,736.1793218556438,662561.3896700795,0.0467761223724312,0.0467761223724312,9.953897142857148,0.8590220604609868,52.369190573766839,0.06699773239712542,0.0,-18.8,0.011512826695605216,14.999999999999997,0.011512826695605216,-18.8,0.011512826695605216,14.999999999999999,0.06699773239712542,14.999999999999999,0.011512826695605216,14.999999999999997,0.011512826695605216 
 12/21  01:00:00,-18.8,1925244.916085848,0.0,2139.1610178731646,0.0,15.0,0.000884356649168142,6.79004658237797,13.071202854051931,2231.0918064379345,10.209914420929162,15.138361969895217,0.1080228783992125,12.674138195412189,28.87071387301054,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,635704.0718131772,2275116.6579239948,1639412.5861108176,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230494,0.0008843566491681423,15.429511030230494,0.0008843566491681423,0.0,14.78257583507894,14.78257583507894,706.3378575701969,2527.9073976933275,0.0,0.0,0.0,0.0,0.0,2520.8637951212106,2268777.415609089,0.0,0.0,2520.863795121211,2268777.4156090898,0.0,0.0,0.0,0.0,4.547473508864641e-13,4.092726157978177e-10,735.2085714432075,661687.7142988867,0.04662731954145913,0.04662731954145913,9.953897142857148,0.8590220604609868,52.50301466308557,0.06678460117239446,0.0,-18.8,0.011512826695605216,14.999999999999999,0.011512826695605216,-18.8,0.011512826695605216,15.0,0.06678460117239446,15.0,0.011512826695605216,14.999999999999999,0.011512826695605216 
 12/21  01:15:00,-18.8,1926040.4315878084,0.0,2140.044923986454,0.0,15.0,0.0008843566491681417,6.790046582377967,13.017745150184702,2037.2563008378227,10.403813187576949,14.907682999715718,0.10794248147441445,12.655748093646335,28.84922660432718,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,635585.6629547725,2275943.2555501277,1640357.5925953552,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230494,0.000884356649168142,15.429511030230494,0.000884356649168142,0.0,14.858074686501175,14.858074686501175,706.2062921719694,2528.8258395001419,0.0,0.0,0.0,0.0,0.0,2521.7477012344995,2269572.9311110496,0.0,0.0,2521.7477012344995,2269572.9311110496,0.0,0.0,0.0,0.0,0.0,0.0,735.0555187762966,661549.9668986669,0.04659261677146946,0.04659261677146946,9.953897142857148,0.8590220604609868,52.54410709145833,0.06673489617806648,0.0,-18.8,0.011512826695605216,14.999999999999999,0.011512826695605216,-18.8,0.011512826695605216,15.0,0.06673489617806648,15.0,0.011512826695605216,14.999999999999999,0.011512826695605216 
 12/21  01:30:00,-18.8,1926764.8925315524,0.0,2140.849880590614,0.0,15.0,0.0008843566491681414,6.7900465823779669,12.986761862650605,1906.8787431853255,10.542046158192049,14.75578393648885,0.10799541552025505,12.648915047340449,28.863374011934263,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,635802.9983659785,2276665.241172742,1640862.2428067639,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230496,0.0008843566491681417,15.429511030230496,0.0008843566491681417,0.0,14.846272184802214,14.846272184802214,706.4477759621983,2529.6280457474915,0.0,0.0,0.0,0.0,0.0,2522.552657838659,2270297.392054793,0.0,0.0,2522.552657838659,2270297.392054793,0.0,0.0,0.0,0.0,0.0,0.0,735.3111499741326,661780.0349767193,0.04661546538193613,0.04661546538193613,9.953897142857148,0.8590220604609868,52.53768323935265,0.06676762238562818,0.0,-18.8,0.011512826695605216,15.0,0.011512826695605216,-18.8,0.011512826695605216,15.0,0.06676762238562818,15.0,0.011512826695605216,15.0,0.011512826695605216 
 12/21  01:45:00,-18.8,1927430.4354033869,0.0,2141.58937267043,0.0,15.000000000000002,0.0008843566491681413,6.790046582377965,12.9658604028185,1828.349008530959,10.624663781819333,14.660978929866502,0.10810208146346366,12.642821355842918,28.89188206478386,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,636152.2789541755,2277314.348754719,1641162.0698005434,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230496,0.0008843566491681414,15.429511030230496,0.0008843566491681414,0.0,14.798418782895763,14.798418782895763,706.8358655046395,2530.349276394132,0.0,0.0,0.0,0.0,0.0,2523.2921499184765,2270962.9349266288,0.0,0.0,2523.2921499184769,2270962.934926629,0.0,0.0,0.0,0.0,4.547473508864641e-13,4.092726157978177e-10,735.7277475694234,662154.9728124811,0.04666150698989809,0.04666150698989809,9.953897142857148,0.8590220604609868,52.51163764457616,0.06683356806844491,0.0,-18.8,0.011512826695605216,15.0,0.011512826695605216,-18.8,0.011512826695605216,15.0,0.06683356806844491,15.0,0.011512826695605216,15.0,0.011512826695605216 
 12/21  02:00:00,-18.8,1928047.0468062775,0.0,2142.2744964514197,0.0,14.999999999999999,0.000884356649168141,6.7900467908975818,12.950511968633382,1788.1542249687657,10.663604447423218,14.606952428890548,0.10821930402743783,12.635278438156883,28.92321153085726,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,636523.3657450404,2277911.2438054776,1641387.8780604373,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230496,0.0008843566491681413,15.429511030230496,0.0008843566491681413,0.0,14.742457977875273,14.742457977875273,707.2481841611559,2531.012493117197,0.0,0.0,0.0,0.0,0.0,2523.9772736994657,2271579.546329519,0.0,0.0,2523.977273699466,2271579.5463295194,0.0,0.0,0.0,0.0,4.547473508864641e-13,4.092726157978177e-10,736.1713956920132,662554.2561228119,0.04671210528934067,0.04671210528934067,9.953897142857148,0.8590220604609868,52.48117936171932,0.06690604032894596,0.0,-18.8,0.011512826695605216,15.0,0.011512826695605216,-18.8,0.011512826695605216,15.000000000000002,0.06690604032894596,15.000000000000002,0.011512826695605216,15.0,0.011512826695605216 
 12/21  02:15:00,-18.8,1928622.911874453,0.0,2142.91434652717,0.0,15.000000000000002,0.0008843566491681408,6.790046582377962,12.939122019693564,1773.6564718152009,10.67315895004022,14.580705547942137,0.10832567331104091,12.626932248991178,28.9516402970343,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,636861.9703322499,2278469.453544054,1641607.4832118047,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230494,0.000884356649168141,15.429511030230494,0.000884356649168141,0.0,14.692278210132358,14.692278210132358,707.6244114802777,2531.6327261600606,0.0,0.0,0.0,0.0,0.0,2524.617123775216,2272155.4113976948,0.0,0.0,2524.617123775216,2272155.4113976948,0.0,0.0,0.0,0.0,0.0,0.0,736.5760517773119,662918.4465995807,0.04675801884625986,0.04675801884625986,9.953897142857148,0.8590220604609868,52.453867575210058,0.06697180260345388,0.0,-18.8,0.011512826695605216,14.999999999999999,0.011512826695605216,-18.8,0.011512826695605216,14.999999999999999,0.06697180260345388,14.999999999999999,0.011512826695605216,14.999999999999999,0.011512826695605216 
 12/21  02:30:00,-18.8,1929164.720157023,0.0,2143.5163557300259,0.0,15.0,0.0008843566491681406,6.790046582377959,12.92981009960526,1773.6369387438943,10.66573721829863,14.570070455819267,0.10841340356489057,12.617903837058949,28.975087506499869,0.4295110302304952,0.0,0.0,0.0,0.0,0.0,637148.7378616941,2278997.663689865,1641848.925828171,0.0,0.0,0.0,0.0,0.0,0.0,15.429511030230497,0.0008843566491681408,15.429511030230497,0.0008843566491681408,0.0,14.652988523227034,14.652988523227034,707.943042068549,2532.219626322072,0.0,0.0,0.0,0.0,0.0,2525.2191329780719,2272697.2196802648,0.0,0.0,2525.2191329780719,2272697.2196802648,0.0,0.0,0.0,0.0,0.0,0.0,736.9181295750489,663226.3166175439,0.04679588699641768,0.04679588699641768,9.953897142857148,0.8590220604609868,52.43248302942514,0.06702604139157846,0.0,-18.8,0.011512826695605216,15.000000000000002,0.011512826695605216,-18.8,0.011512826695605216,15.000000000000002,0.06702604139157846,15.000000000000002,0.011512826695605216,15.000000000000002,0.011512826695605216 
